P1xpos,P1ypos,P1zpos,P1Heading,Targetxpos,Targetypos,Targetzpos,Targetxvel,Targetyvel,Targetzvel,Containmentxpos,Containmentypos,Containmentzpos,targetcontained,trialtime
23.04099,1,-20.57205,2.561074,16.26196,0.5,-14.51609,-0.9758887,0,0.8704814,0,0.2,0,False,355.26
23.03633,1,-20.55773,2.265719,16.2522,0.5,-14.50738,-0.9760931,0,0.8706646,0,0.2,0,False,355.27
23.02157,1,-20.55474,2.560934,16.24244,0.5,-14.49868,-0.9760861,0,0.8706645,0,0.2,0,False,355.28
23.01691,1,-20.54042,2.265837,16.23268,0.5,-14.48997,-0.9762893,0,0.8708465,0,0.2,0,False,355.29
23.00215,1,-20.53742,2.560797,16.22291,0.5,-14.48126,-0.976281,0,0.8708506,0,0.2,0,False,355.3
22.99748,1,-20.52311,2.265956,16.21315,0.5,-14.47255,-0.9764829,0,0.8710262,0,0.2,0,False,355.31
22.98273,1,-20.5201,2.560657,16.20338,0.5,-14.46384,-0.9764733,0,0.8710236,0,0.2,0,False,355.32
22.97805,1,-20.50579,2.266077,16.19362,0.5,-14.45513,-0.9766744,0,0.8712037,0,0.2,0,False,355.33
22.9633,1,-20.50278,2.560519,16.18385,0.5,-14.44641,-0.9766635,0,0.8712,0,0.2,0,False,355.34
22.95862,1,-20.48847,2.266197,16.17408,0.5,-14.4377,-0.976863,0,0.8713787,0,0.2,0,False,355.35
22.94387,1,-20.48545,2.560381,16.16431,0.5,-14.42899,-0.976851,0,0.8713739,0,0.2,0,False,355.36
22.93918,1,-20.47114,2.266322,16.15454,0.5,-14.42027,-0.9770495,0,0.8715517,0,0.2,0,False,355.37
22.92443,1,-20.46812,2.560246,16.14477,0.5,-14.41156,-0.9770362,0,0.8715457,0,0.2,0,False,355.38
22.91974,1,-20.45382,2.266443,16.135,0.5,-14.40284,-0.9772336,0,0.8717225,0,0.2,0,False,355.39
22.905,1,-20.45078,2.560108,16.12523,0.5,-14.39412,-0.977219,0,0.8717154,0,0.2,0,False,355.4
22.9003,1,-20.43648,2.266568,16.11546,0.5,-14.3854,-0.9774154,0,0.8718912,0,0.2,0,False,355.41
22.88556,1,-20.43344,2.559974,16.10568,0.5,-14.37669,-0.9774104,0,0.8718829,0,0.2,0,False,355.42
22.88085,1,-20.41915,2.266695,16.09591,0.5,-14.36796,-0.9775948,0,0.8720577,0,0.2,0,False,355.43
22.86611,1,-20.4161,2.559839,16.08613,0.5,-14.35924,-0.9775885,0,0.8720484,0,0.2,0,False,355.44
22.8614,1,-20.40181,2.26682,16.07635,0.5,-14.35052,-0.9777719,0,0.8722222,0,0.2,0,False,355.45
22.84667,1,-20.39876,2.559704,16.06658,0.5,-14.3418,-0.9777643,0,0.8722116,0,0.2,0,False,355.46
22.84195,1,-20.38447,2.266949,16.0568,0.5,-14.33308,-0.9779466,0,0.8723845,0,0.2,0,False,355.47
22.82722,1,-20.38141,2.559567,16.04702,0.5,-14.32435,-0.9779379,0,0.8723675,0,0.2,0,False,355.48
22.8225,1,-20.36712,2.267074,16.03724,0.5,-14.31563,-0.978119,0,0.8725446,0,0.2,0,False,355.49
22.80776,1,-20.36405,2.55943,16.02746,0.5,-14.3069,-0.9781093,0,0.8725321,0,0.2,0,False,355.5
22.80304,1,-20.34977,2.267202,16.01768,0.5,-14.29817,-0.9782896,0,0.8727031,0,0.2,0,False,355.51
22.78831,1,-20.3467,2.559296,16.00789,0.5,-14.28945,-0.9782677,0,0.8726893,0,0.2,0,False,355.52
22.78357,1,-20.33242,2.267332,15.99811,0.5,-14.28072,-0.9784578,0,0.8728593,0,0.2,0,False,355.53
22.76885,1,-20.32934,2.55916,15.98832,0.5,-14.27199,-0.9784349,0,0.8728445,0,0.2,0,False,355.54
22.7641,1,-20.31507,2.267461,15.97854,0.5,-14.26326,-0.9786238,0,0.8730134,0,0.2,0,False,355.55
